id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	41	29	12	41	12	0
2	0	100	100	173	35	38	73	38	0
3	0	223	223	314	69	22	91	22	0
4	0	484	484	486	2	0	2	0	0
5	0	625	625	672	33	14	47	14	0
6	0	704	704	788	62	22	84	22	0
7	0	1099	1099	1136	29	8	37	8	0
8	0	1224	1224	1374	87	63	150	63	0
9	0	1359	1359	1402	12	31	43	31	0
10	0	1408	1408	1457	26	23	49	23	0
11	0	1656	1656	1737	49	32	81	32	0
12	0	1807	1807	1840	13	20	33	20	0
13	0	1972	1972	1999	27	0	27	0	0
14	0	2008	2008	2031	15	8	23	8	0
15	0	2102	2102	2118	16	0	16	0	0
17	0	2263	2280	2281	1	0	18	17	17
16	0	2260	2260	2284	23	0	24	1	0
18	0	2624	2624	2653	16	13	29	13	0
19	0	2778	2778	2791	8	5	13	5	0
20	0	2923	2923	2933	10	0	10	0	0
22	0	3032	3040	3090	30	8	58	28	8
21	0	2980	2980	3107	94	3	127	33	0
23	0	3154	3154	3171	17	0	17	0	0
25	0	3305	3320	3327	7	0	22	15	15
24	0	3280	3280	3447	116	44	167	51	0
26	0	3511	3511	3551	36	4	40	4	0
27	0	3764	3764	3841	47	30	77	30	0
30	0	4070	4074	4112	18	13	42	24	4
29	0	4035	4054	4146	46	2	111	65	19
31	0	4075	4083	4193	56	13	118	62	8
28	0	4034	4034	4256	74	47	222	148	0
32	0	4338	4338	4343	3	2	5	2	0
33	0	4796	4796	4825	18	11	29	11	0
35	0	4892	4897	4991	62	28	99	37	5
34	0	4857	4857	5014	78	48	157	79	0
37	0	5119	5120	5143	23	0	24	1	1
36	0	5100	5100	5171	48	0	71	23	0
38	0	5235	5235	5315	47	33	80	33	0
39	0	5310	5315	5403	80	8	93	13	5
40	0	5506	5506	5569	18	45	63	45	0
41	0	5621	5621	5672	31	18	51	20	0
42	0	5632	5641	5692	34	6	60	26	9
43	0	5732	5732	5761	26	2	29	3	0
45	0	5769	5769	5772	3	0	3	0	0
44	0	5753	5757	5858	34	55	105	71	4
46	0	5805	5818	5881	32	31	76	44	13
47	0	5970	5970	5992	22	0	22	0	0
48	0	6013	6013	6014	1	0	1	0	0
49	0	6039	6039	6085	18	28	46	28	0
50	0	6050	6054	6099	40	3	49	9	4
0	0	0	0	6099	4378	0	6099	1721	0
