id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3751	0	0	0	4	4	0	4	0	0
3851	0	0	25	27	2	0	27	25	25
3752	0	19	60	90	30	0	71	41	41
3801	0	0	4	91	22	7	91	69	4
3901	0	0	27	128	52	8	128	76	27
3951	0	0	55	163	40	6	163	123	55
3903	0	91	163	170	7	0	79	72	72
3852	0	97	170	171	1	0	74	73	73
3952	0	151	196	215	19	0	64	45	45
3904	0	151	194	250	37	7	99	62	43
3905	0	233	250	252	2	0	19	17	17
3902	0	34	91	269	53	67	235	182	57
3802	0	296	361	408	47	0	112	65	65
3753	0	255	269	419	40	19	164	124	14
3853	0	255	275	435	72	33	180	108	20
3906	0	296	408	571	36	8	275	239	112
3907	0	403	435	616	69	5	213	144	32
3803	0	497	618	684	66	0	187	121	121
3908	0	410	477	725	63	13	315	252	67
3755	0	562	725	754	29	0	192	163	163
3756	0	581	754	789	35	0	208	173	173
3909	0	467	571	829	54	17	362	308	104
3754	0	479	585	834	9	18	355	346	106
3953	0	611	834	861	27	0	250	223	223
3757	0	639	864	883	19	0	244	225	225
3910	0	513	684	927	48	10	414	366	171
3857	0	786	927	931	4	0	145	141	141
3913	0	853	956	970	14	0	117	103	103
3854	0	488	616	975	10	29	487	477	128
3855	0	664	890	1008	35	6	344	309	226
3858	0	910	1019	1024	5	0	114	109	109
3911	0	700	896	1026	14	3	326	312	196
3804	0	666	892	1043	21	17	377	356	226
3912	0	842	931	1131	26	5	289	263	89
3859	0	967	1131	1143	12	0	176	164	164
3758	0	663	883	1152	16	139	489	473	220
3760	0	929	1043	1217	32	5	288	256	114
3914	0	938	1074	1240	24	1	302	278	136
3856	0	717	908	1281	44	36	564	520	191
3761	0	953	1097	1302	35	1	349	314	144
3956	0	1145	1306	1307	1	0	162	161	161
3805	0	1043	1152	1316	37	1	273	236	109
3915	0	1056	1187	1322	9	2	266	257	131
3955	0	1046	1180	1348	33	20	302	269	134
3916	0	1216	1348	1362	14	0	146	132	132
3759	0	910	1008	1370	36	50	460	424	98
3806	0	1237	1370	1394	24	0	157	133	133
3762	0	1087	1217	1421	28	30	334	306	130
3810	0	1298	1488	1506	18	0	208	190	190
3763	0	1112	1293	1507	8	1	395	387	181
3954	0	943	1096	1521	27	21	578	551	153
3764	0	1144	1302	1535	16	20	391	375	158
3958	0	1392	1548	1579	31	0	187	156	156
3807	0	1244	1394	1593	34	6	349	315	150
3861	0	1270	1421	1625	15	2	355	340	151
3808	0	1281	1431	1627	13	28	346	333	150
3809	0	1291	1442	1644	55	6	353	298	151
3811	0	1517	1679	1704	25	0	187	162	162
3957	0	1377	1535	1730	28	27	353	325	158
3917	0	1650	1756	1788	32	0	138	106	106
3814	0	1700	1812	1823	11	0	123	112	112
3862	0	1323	1521	1883	8	42	560	552	198
3959	0	1425	1593	1925	57	24	500	443	168
3860	0	1098	1240	1930	88	46	832	744	142
3815	0	1701	1823	1931	18	7	230	212	122
3812	0	1548	1708	1937	22	8	389	367	160
3919	0	1741	1883	1966	33	5	225	192	142
3813	0	1606	1730	1989	31	39	383	352	124
3918	0	1724	1853	2000	39	50	276	237	129
3864	0	1874	1946	2032	15	8	158	143	72
3816	0	1971	2039	2045	6	0	74	68	68
3863	0	1717	1840	2054	22	44	337	315	123
3960	0	1943	2000	2123	51	2	180	129	57
3920	0	2043	2123	2126	3	0	83	80	80
3765	0	1760	1900	2179	54	22	419	365	140
3817	0	2141	2206	2211	5	0	70	65	65
3766	0	2192	2215	2235	20	0	43	23	23
3963	0	1990	2092	2281	60	6	291	231	102
3964	0	2097	2201	2290	7	19	193	186	104
3962	0	1978	2054	2294	28	39	316	288	76
3961	0	1970	2032	2322	50	68	352	302	62
3965	0	2260	2322	2331	9	0	71	62	62
3819	0	2296	2367	2385	18	0	89	71	71
3767	0	2223	2281	2401	23	29	178	155	58
3865	0	2321	2401	2405	4	0	84	80	80
3966	0	2266	2331	2423	22	10	157	135	65
3768	0	2274	2358	2471	39	9	197	158	84
3967	0	2273	2340	2507	54	17	234	180	67
3769	0	2279	2359	2515	16	8	236	220	80
3770	0	2448	2590	2609	19	0	161	142	142
3970	0	2526	2688	2707	19	0	181	162	162
3921	0	2386	2515	2734	22	7	348	326	129
3922	0	2396	2524	2735	2	10	339	337	128
3971	0	2600	2763	2815	52	0	215	163	163
3820	0	2362	2423	2818	47	25	456	409	61
3968	0	2462	2609	2829	49	3	367	318	147
3822	0	2676	2829	2860	31	0	184	153	153
3924	0	2713	2877	2883	6	0	170	164	164
3821	0	2531	2707	2907	18	2	376	358	176
3866	0	2741	2911	2914	3	0	173	170	170
3771	0	2558	2744	2916	5	2	358	353	186
3973	0	2792	2958	2985	27	0	193	166	166
3773	0	2849	2985	2995	10	0	146	136	136
3969	0	2495	2647	3003	66	11	508	442	152
3772	0	2724	2907	3006	4	5	282	278	183
3823	0	2734	2908	3027	24	12	293	269	174
3972	0	2785	2933	3159	83	27	374	291	148
3818	0	2241	2294	3187	99	59	946	847	53
3926	0	2981	3187	3204	17	0	223	206	206
3869	0	2982	3204	3229	25	0	247	222	222
3923	0	2436	2536	3233	57	109	797	740	100
3925	0	2716	2883	3286	67	39	570	503	167
3867	0	2938	3045	3320	45	4	382	337	107
3871	0	3218	3434	3484	50	0	266	216	216
3927	0	3066	3286	3494	15	14	428	413	220
3975	0	3309	3527	3544	17	0	235	218	218
3824	0	3084	3320	3546	18	3	462	444	236
3776	0	3367	3565	3570	5	0	203	198	198
3868	0	2957	3064	3572	50	44	615	565	107
3827	0	3435	3643	3651	8	0	216	208	208
3928	0	3185	3425	3660	18	3	475	457	240
3974	0	3107	3402	3666	29	16	559	530	295
3874	0	3485	3694	3699	5	0	214	209	209
3777	0	3533	3733	3745	12	0	212	200	200
3875	0	3552	3746	3755	9	0	203	194	194
3825	0	3309	3494	3788	66	28	479	413	185
3826	0	3341	3546	3789	7	9	448	441	205
3870	0	3051	3233	3802	50	109	751	701	182
3978	0	3620	3850	3855	5	0	235	230	230
3929	0	3432	3627	3898	33	3	466	433	195
3872	0	3413	3592	3914	51	30	501	450	179
