id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
13501	0	0	0	4	4	0	4	0	0
13601	0	0	19	21	2	0	21	19	19
13653	0	91	103	110	7	0	19	12	12
13602	0	97	110	111	1	0	14	13	13
13551	0	0	4	135	22	7	135	113	4
13502	0	19	41	150	30	0	131	101	22
13702	0	151	167	201	19	0	50	31	16
13652	0	34	71	218	53	67	184	131	37
13655	0	233	233	235	2	0	2	0	0
13651	0	0	21	259	52	8	259	207	21
13654	0	151	165	272	37	7	121	84	14
13503	0	255	259	369	40	19	114	74	4
13656	0	296	317	372	36	8	76	40	21
13701	0	0	36	377	40	6	377	337	36
13504	0	479	493	522	9	18	43	34	14
13604	0	488	497	557	10	29	69	59	9
13505	0	562	572	616	29	0	54	25	10
13703	0	611	616	643	27	0	32	5	5
13507	0	639	643	662	19	0	23	4	4
13661	0	700	735	759	14	3	59	45	35
13554	0	666	686	761	21	17	95	74	20
13605	0	664	684	788	35	6	124	89	20
13607	0	786	788	792	4	0	6	2	2
13506	0	581	587	797	35	0	216	181	6
13659	0	467	479	816	54	17	349	295	12
13508	0	663	677	840	16	139	177	161	14
13606	0	717	747	850	44	36	133	89	30
13663	0	853	865	879	14	0	26	12	12
13660	0	513	522	898	48	10	385	337	9
13662	0	842	850	899	26	5	57	31	8
13608	0	910	925	930	5	0	20	15	15
13609	0	967	1003	1015	12	0	48	36	36
13704	0	943	960	1029	27	21	86	59	17
13509	0	910	914	1078	36	50	168	132	4
13665	0	1056	1067	1084	9	2	28	19	11
13510	0	929	930	1094	32	5	165	133	1
13513	0	1112	1139	1151	8	1	39	31	27
13706	0	1145	1151	1152	1	0	7	6	6
13705	0	1046	1060	1170	33	20	124	91	14
13664	0	938	945	1172	24	1	234	210	7
13514	0	1144	1146	1184	16	20	40	24	2
13512	0	1087	1109	1212	28	30	125	97	22
13666	0	1216	1227	1241	14	0	25	11	11
13611	0	1270	1271	1302	15	2	32	17	1
13558	0	1281	1286	1336	13	28	55	42	5
13560	0	1298	1317	1339	18	0	41	23	19
13556	0	1237	1241	1348	24	0	111	87	4
13557	0	1244	1256	1366	34	6	122	88	12
13612	0	1323	1332	1383	8	42	60	52	9
13707	0	1377	1383	1456	28	27	79	51	6
13555	0	1043	1045	1477	37	1	434	397	2
13561	0	1517	1532	1557	25	0	40	15	15
13709	0	1425	1426	1569	57	24	144	87	1
13708	0	1392	1396	1570	31	0	178	147	4
13562	0	1548	1557	1593	22	8	45	23	9
13511	0	953	961	1595	35	1	642	607	8
13559	0	1291	1302	1645	55	6	354	299	11
13610	0	1098	1124	1650	88	46	552	464	26
13564	0	1700	1703	1714	11	0	14	3	3
13563	0	1606	1618	1795	31	39	189	158	12
13565	0	1701	1714	1797	18	7	96	78	13
13613	0	1717	1729	1836	22	44	119	97	12
13669	0	1741	1748	1837	33	5	96	63	7
13667	0	1650	1673	1887	32	0	237	205	23
13657	0	403	407	1899	69	5	1496	1427	4
13614	0	1874	1880	1910	15	8	36	21	6
13515	0	1760	1772	1920	54	22	160	106	12
13668	0	1724	1733	1931	39	50	207	168	9
13566	0	1971	1989	1995	6	0	24	18	18
13670	0	2043	2061	2064	3	0	21	18	18
13712	0	1978	1995	2094	28	39	116	88	17
13710	0	1943	1946	2129	51	2	186	135	3
13714	0	2097	2109	2146	7	19	49	42	12
13567	0	2141	2146	2151	5	0	10	5	5
13713	0	1990	2002	2167	60	6	177	117	12
13711	0	1970	1982	2171	50	68	201	151	12
13552	0	296	302	2173	47	0	1877	1830	6
13516	0	2192	2197	2217	20	0	25	5	5
13603	0	255	265	2240	72	33	1985	1913	10
13715	0	2260	2285	2294	9	0	34	25	25
13716	0	2266	2294	2331	22	10	65	43	28
