id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
28001	0	0	0	4	4	0	4	0	0
28101	0	0	4	6	2	0	6	4	4
28051	0	0	11	60	22	7	60	38	11
28102	0	97	101	102	1	0	5	4	4
28153	0	91	102	109	7	0	18	11	11
28151	0	0	32	156	52	8	156	104	32
28202	0	151	158	177	19	0	26	7	7
28002	0	19	74	180	30	0	161	131	55
28152	0	34	60	197	53	67	163	110	26
28155	0	233	251	253	2	0	20	18	18
28201	0	0	6	261	40	6	261	221	6
28154	0	151	156	277	37	7	126	89	5
28003	0	255	263	341	40	19	86	46	8
28156	0	296	303	374	36	8	78	42	7
28052	0	296	306	394	47	0	98	51	10
28103	0	255	261	529	72	33	274	202	6
28004	0	479	492	534	9	18	55	46	13
28104	0	488	490	539	10	29	51	41	2
28157	0	403	421	566	69	5	163	94	18
28005	0	562	566	595	29	0	33	4	4
28203	0	611	622	649	27	0	38	11	11
28007	0	639	649	668	19	0	29	10	10
28161	0	700	708	732	14	3	32	18	8
28054	0	666	670	749	21	17	83	62	4
28105	0	664	668	764	35	6	100	65	4
28006	0	581	595	772	35	0	191	156	14
28107	0	786	799	803	4	0	17	13	13
28106	0	717	720	828	44	36	111	67	3
28008	0	663	674	837	16	139	174	158	11
28160	0	513	772	883	48	10	370	322	259
28162	0	842	849	884	26	5	42	16	7
28163	0	853	884	898	14	0	45	31	31
28108	0	910	925	930	5	0	20	15	15
28010	0	929	941	996	32	5	67	35	12
28164	0	938	964	998	24	1	60	36	26
28109	0	967	998	1010	12	0	43	31	31
28165	0	1056	1066	1082	9	2	26	17	10
28009	0	910	930	1090	36	50	180	144	20
28204	0	943	963	1104	27	21	161	134	20
28013	0	1112	1120	1149	8	1	37	29	8
28206	0	1145	1149	1150	1	0	5	4	4
28205	0	1046	1069	1180	33	20	134	101	23
28012	0	1087	1127	1187	28	30	100	72	40
28014	0	1144	1150	1207	16	20	63	47	6
28166	0	1216	1234	1248	14	0	32	18	18
28056	0	1237	1268	1292	24	0	55	31	31
28111	0	1270	1292	1318	15	2	48	33	22
28057	0	1244	1248	1332	34	6	88	54	4
28060	0	1298	1334	1352	18	0	54	36	36
28058	0	1281	1302	1354	13	28	73	60	21
28055	0	1043	1207	1374	37	1	331	294	164
28011	0	953	1039	1376	35	1	423	388	86
28112	0	1323	1332	1405	8	42	82	74	9
28207	0	1377	1405	1460	28	27	83	55	28
28208	0	1392	1418	1491	31	0	99	68	26
28110	0	1098	1104	1562	88	46	464	376	6
