id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
55751	0	0	0	4	4	0	4	0	0
55851	0	0	25	27	2	0	27	25	25
55752	0	19	60	90	30	0	71	41	41
55801	0	0	4	91	22	7	91	69	4
55901	0	0	27	128	52	8	128	76	27
55951	0	0	55	163	40	6	163	123	55
55903	0	91	163	170	7	0	79	72	72
55852	0	97	170	171	1	0	74	73	73
55952	0	151	196	215	19	0	64	45	45
55904	0	151	194	250	37	7	99	62	43
55905	0	233	250	252	2	0	19	17	17
55902	0	34	91	269	53	67	235	182	57
55802	0	296	356	403	47	0	107	60	60
55753	0	255	269	414	40	19	159	119	14
55906	0	296	403	543	36	8	247	211	107
55853	0	255	275	559	72	33	304	232	20
55907	0	403	419	586	69	5	183	114	16
55755	0	562	706	735	29	0	173	144	144
55756	0	581	735	770	35	0	189	154	154
55953	0	611	773	800	27	0	189	162	162
55909	0	467	586	840	54	17	373	319	119
55754	0	479	600	845	9	18	366	357	121
55757	0	639	845	864	19	0	225	206	206
55803	0	497	606	881	66	0	384	318	109
55908	0	410	461	896	63	13	486	423	51
55910	0	513	667	917	48	10	404	356	154
55857	0	786	927	931	4	0	145	141	141
55854	0	488	604	936	10	29	448	438	116
55913	0	853	961	975	14	0	122	108	108
55855	0	664	888	1008	35	6	344	309	224
55858	0	910	1019	1024	5	0	114	109	109
55804	0	666	890	1041	21	17	375	354	224
55911	0	700	896	1043	14	3	343	329	196
55912	0	842	936	1131	26	5	289	263	94
55859	0	967	1131	1143	12	0	176	164	164
55758	0	663	881	1152	16	139	489	473	218
55760	0	929	1043	1217	32	5	288	256	114
55914	0	938	1065	1240	24	1	302	278	127
55856	0	717	917	1300	44	36	583	539	200
55761	0	953	1097	1302	35	1	349	314	144
55956	0	1145	1306	1307	1	0	162	161	161
55805	0	1043	1152	1316	37	1	273	236	109
55915	0	1056	1187	1322	9	2	266	257	131
55955	0	1046	1180	1348	33	20	302	269	134
55916	0	1216	1348	1362	14	0	146	132	132
55759	0	910	1008	1370	36	50	460	424	98
55806	0	1237	1370	1394	24	0	157	133	133
55762	0	1087	1217	1421	28	30	334	306	130
55763	0	1112	1268	1432	8	1	320	312	156
55954	0	943	1096	1457	27	21	514	487	153
55810	0	1298	1503	1521	18	0	223	205	205
55764	0	1144	1302	1535	16	20	391	375	158
