id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2751	0	0	0	5	5	0	5	0	0
2752	1	19	31	96	40	0	77	37	12
2903	0	91	97	106	9	0	15	6	6
2851	0	0	96	107	2	0	107	105	96
2852	0	97	107	109	2	0	12	10	10
2801	0	0	0	140	29	7	140	111	0
2902	2	34	49	208	69	67	174	105	15
2901	2	0	140	239	70	8	239	169	140
2904	1	151	178	285	48	7	134	86	27
2952	0	151	180	306	26	0	155	129	29
2802	2	296	311	380	62	0	84	22	15
2906	1	296	308	437	46	8	141	95	12
2905	0	233	255	439	2	0	206	204	22
2908	1	410	439	536	84	13	126	42	29
2803	3	497	558	664	87	0	167	80	61
2953	1	611	692	741	36	0	130	94	81
2909	2	467	520	795	72	17	328	256	53
2907	3	403	795	892	92	5	489	397	392
2755	0	562	892	939	38	0	377	339	330
2914	1	938	943	998	32	1	60	28	5
2855	2	664	684	1040	45	6	376	331	20
2760	0	929	943	1096	42	5	167	125	14
2805	1	1043	1073	1148	49	1	105	56	30
2854	0	488	664	1154	12	29	666	654	176
2956	0	1145	1154	1156	2	0	11	9	9
2857	0	786	1203	1208	5	0	422	417	417
2762	1	1087	1216	1293	37	30	206	169	129
2860	2	1098	1182	1354	117	46	256	139	84
2809	1	1291	1346	1432	73	6	141	68	55
2951	0	0	19	1442	52	6	1442	1390	19
2959	2	1425	1442	1540	74	24	115	41	17
2754	0	479	851	1555	12	18	1076	1064	372
2811	0	1517	1526	1589	33	0	72	39	9
2955	0	1046	1055	1634	43	20	588	545	9
2862	0	1323	1544	1636	9	42	313	304	221
2812	0	1548	1559	1646	29	8	98	69	11
2853	2	255	296	1744	95	33	1489	1394	41
2759	1	910	1744	1862	47	50	952	905	834
2918	1	1724	1760	1873	52	50	149	97	36
2815	0	1701	1717	1912	24	7	211	187	16
2810	0	1298	1477	1941	23	0	643	620	179
2912	0	842	853	1944	34	5	1102	1068	11
2864	0	1874	1897	1952	20	8	78	58	23
2816	0	1971	1988	2017	8	0	46	38	17
2960	1	1943	1952	2064	67	2	121	54	9
2863	0	1717	1970	2088	30	44	371	341	253
2920	0	2043	2073	2089	4	0	46	42	30
2911	0	700	1135	2092	18	3	1392	1374	435
2814	0	1700	2121	2141	15	0	441	426	421
2964	0	2097	2119	2194	9	19	97	88	22
2961	1	1970	2097	2250	66	68	280	214	127
2753	1	255	319	2254	54	19	1999	1945	64
2817	0	2141	2156	2265	7	0	124	117	15
2965	0	2260	2266	2279	12	0	19	7	6
2913	0	853	1404	2286	19	0	1433	1414	551
2819	0	2296	2310	2343	23	0	47	24	14
2865	0	2321	2343	2348	5	0	27	22	22
2769	0	2279	2286	2372	20	8	93	73	7
2768	1	2274	2279	2418	52	9	144	92	5
2967	1	2273	2290	2488	72	17	215	143	17
2858	0	910	2488	2494	6	0	1584	1578	1578
2921	0	2386	2422	2513	30	7	127	97	36
2968	1	2462	2494	2585	65	3	123	58	32
2971	3	2600	2626	2699	69	0	99	30	26
2822	1	2676	2701	2767	41	0	91	50	25
2915	0	1056	1068	2775	11	2	1719	1708	12
2866	0	2741	2775	2779	4	0	38	34	34
2924	0	2713	2785	2795	8	0	82	74	72
2973	1	2792	2795	2831	36	0	39	3	3
2823	1	2734	2779	2877	32	12	143	111	45
2910	2	513	2877	2951	64	10	2438	2374	2364
2772	0	2724	2783	2954	6	5	230	224	59
2867	2	2938	2957	3021	60	4	83	23	19
2756	1	581	3021	3068	47	0	2487	2440	2440
2773	0	2849	2982	3081	13	0	232	219	133
2774	4	3102	3137	3282	118	27	180	62	35
2927	0	3066	3081	3285	19	14	219	200	15
2821	0	2531	3181	3290	24	2	759	735	650
2926	0	2981	2982	3309	23	0	328	305	1
2871	2	3218	3309	3376	67	0	158	91	91
2776	0	3367	3380	3386	6	0	19	13	13
2975	0	3309	3393	3466	23	0	157	134	84
2827	0	3435	3454	3469	10	0	34	24	19
2874	0	3485	3510	3545	6	0	60	54	25
2825	0	3309	3396	3562	87	28	253	166	87
2976	0	3497	3506	3572	9	26	75	66	9
2875	0	3552	3562	3579	12	0	27	15	10
2777	0	3533	3587	3621	15	0	88	73	54
2873	0	3461	3469	3625	51	19	164	113	8
2979	2	3626	3633	3803	103	67	177	74	7
2813	1	1606	1636	3883	41	39	2277	2236	30
2877	2	3662	3678	3929	104	94	267	163	16
2779	2	3797	3805	4015	75	10	218	143	8
2861	0	1270	1647	4107	19	2	2837	2818	377
2932	2	3810	3905	4133	101	19	323	222	95
2934	0	3958	4136	4137	1	0	179	178	178
2831	0	4114	4137	4138	1	0	24	23	23
2878	0	3731	3907	4153	29	26	422	393	176
2832	0	4137	4153	4201	9	23	64	55	16
2957	0	1377	2223	4234	38	27	2857	2819	846
2881	1	4291	4301	4365	64	0	74	10	10
2922	0	2396	2420	4366	3	10	1970	1967	24
2982	1	4245	4272	4459	88	1	214	126	27
2958	1	1392	1840	4493	41	0	3101	3060	448
2859	0	967	4493	4511	16	0	3544	3528	3526
2988	0	4523	4534	4556	7	4	33	26	11
2987	0	4510	4519	4574	27	12	64	37	9
2835	0	4519	4523	4586	14	8	67	53	4
2989	1	4550	4556	4622	33	21	72	39	6
2983	1	4330	4383	4661	49	0	331	282	53
2783	1	4456	4661	4687	26	0	231	205	205
2757	0	639	686	4693	25	0	4054	4029	47
2834	0	4421	4693	4699	6	0	278	272	272
2938	1	4419	4699	4743	43	0	324	281	280
2986	0	4508	4577	4767	14	27	259	245	69
