id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3001	0	0	0	11	11	0	11	0	0
3101	0	0	11	15	4	0	15	11	11
3102	0	97	112	116	4	0	19	15	15
3153	0	91	92	117	21	0	26	5	1
3202	0	151	162	225	63	0	74	11	11
3155	0	233	234	238	4	0	5	1	1
3051	0	0	30	260	71	7	260	189	30
3152	0	34	50	459	171	67	425	254	16
3004	0	479	479	541	27	18	62	35	0
3104	0	488	490	576	30	29	88	58	2
3003	0	255	265	634	132	19	379	247	10
3161	0	700	712	808	43	3	108	65	12
3107	0	786	808	820	12	0	34	22	22
3008	0	663	689	898	51	139	235	184	26
3108	0	910	918	933	15	0	23	8	8
3109	0	967	1008	1048	40	0	81	41	41
3165	0	1056	1068	1117	28	2	61	33	12
3163	0	853	898	1144	46	0	291	245	45
3013	0	1112	1117	1145	22	1	33	11	5
3206	0	1145	1158	1161	3	0	16	13	13
3014	0	1144	1145	1221	53	20	77	24	1
3204	0	943	953	1268	87	21	325	238	10
3111	0	1270	1288	1360	47	2	90	43	18
3112	0	1323	1340	1411	21	42	88	67	17
3058	0	1281	1320	1437	41	28	156	115	39
3166	0	1216	1241	1447	47	0	231	184	25
3207	0	1377	1386	1515	91	27	138	47	9
3054	0	666	678	1562	66	17	896	830	12
3062	0	1548	1562	1726	71	8	178	107	14
3064	0	1700	1740	1807	37	0	107	70	40
3113	0	1717	1726	1856	73	44	139	66	9
3114	0	1874	1876	1948	49	8	74	25	2
3066	0	1971	1983	2002	19	0	31	12	12
3170	0	2043	2046	2055	9	0	12	3	3
3009	0	910	933	2085	117	50	1175	1058	23
3214	0	2097	2105	2145	20	19	48	28	8
3067	0	2141	2145	2161	16	0	20	4	4
3212	0	1978	2005	2228	88	39	250	162	27
3065	0	1701	1891	2288	58	7	587	529	190
3115	0	2321	2337	2349	12	0	28	16	16
3019	0	2279	2292	2374	50	8	95	45	13
3215	0	2260	2265	2393	30	0	133	103	5
3172	0	2396	2413	2448	5	10	52	47	17
3216	0	2266	2317	2503	70	10	237	167	51
3171	0	2386	2393	2547	74	7	161	87	7
3021	0	2558	2567	2601	14	2	43	29	9
3071	0	2531	2547	2640	59	2	109	50	16
3017	0	2223	2228	2672	74	29	449	375	5
3174	0	2713	2730	2749	19	0	36	17	17
3116	0	2741	2749	2757	8	0	16	8	8
3022	0	2724	2727	2776	13	5	52	39	3
3169	0	1741	1963	2820	109	5	1079	970	222
3060	0	1298	2687	2857	57	0	1559	1502	1389
3023	0	2849	2857	2888	31	0	39	8	8
3176	0	2981	3018	3075	57	0	94	37	37
3177	0	3066	3075	3141	46	14	75	29	9
3074	0	3084	3100	3195	56	3	111	55	16
3069	0	2296	2908	3241	58	0	945	887	612
3178	0	3185	3195	3287	56	3	102	46	10
3025	0	3228	3241	3373	47	61	145	98	13
3026	0	3367	3373	3387	14	0	20	6	6
3076	0	3341	3347	3388	18	9	47	29	6
3225	0	3309	3388	3444	56	0	135	79	79
3124	0	3485	3487	3502	15	0	17	2	2
3077	0	3435	3444	3516	24	0	81	57	9
3226	0	3497	3502	3570	21	26	73	52	5
3125	0	3552	3570	3617	29	0	65	36	18
3228	0	3620	3624	3639	15	0	19	4	4
3028	0	3611	3617	3644	12	4	33	21	6
3027	0	3533	3536	3678	38	0	145	107	3
3181	0	3741	3782	3862	65	8	121	56	41
3128	0	3731	3733	3924	72	26	193	121	2
3184	0	3958	3964	3965	1	0	7	6	6
3183	0	3854	3862	3981	41	69	127	86	8
3080	0	3733	3753	3986	74	5	253	179	20
3030	0	4045	4057	4135	32	13	90	58	12
3081	0	4114	4135	4138	3	0	24	21	21
3082	0	4137	4138	4197	21	23	60	39	1
3031	0	4171	4171	4282	67	22	111	44	0
3230	0	3678	3698	4287	120	72	609	489	20
3231	0	4158	4287	4366	59	18	208	149	129
3132	0	4383	4386	4399	13	0	16	3	3
3084	0	4421	4439	4453	14	0	32	18	18
3187	0	4408	4419	4455	22	0	47	25	11
3134	0	4397	4399	4460	25	0	63	38	2
3238	0	4523	4527	4555	15	4	32	17	4
3236	0	4508	4509	4579	33	27	71	38	1
3085	0	4519	4528	4622	36	8	103	67	9
3189	0	4577	4599	4625	23	0	48	25	22
