id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4751	0	0	0	14	14	0	14	0	0
4851	0	0	34	39	5	0	39	34	34
4852	0	97	138	143	5	0	46	41	41
4903	0	91	118	217	27	0	126	99	27
4905	0	233	237	242	5	0	9	4	4
4854	0	488	508	605	37	29	117	80	20
4857	0	786	804	820	16	0	34	18	18
4754	0	479	494	821	35	18	342	307	15
4858	0	910	930	949	19	0	39	20	20
4956	0	1145	1197	1201	4	0	56	52	52
4915	0	1056	1090	1207	36	2	151	115	34
4862	0	1323	1362	1469	27	42	146	119	39
4763	0	1112	1160	1470	28	1	358	330	48
4816	0	1971	1991	2040	25	0	69	44	20
4920	0	2043	2060	2071	11	0	28	17	17
4817	0	2141	2149	2169	20	0	28	8	8
4964	0	2097	2108	2174	26	19	77	51	11
4758	0	663	665	2230	65	139	1567	1502	2
4865	0	2321	2395	2410	15	0	89	74	74
4922	0	2396	2450	2476	6	10	80	74	54
4771	0	2558	2576	2603	18	2	45	27	18
4965	0	2260	2270	2671	39	0	411	372	10
4772	0	2724	2769	2798	17	5	74	57	45
4866	0	2741	2798	2809	11	0	68	57	57
4924	0	2713	2729	2906	24	0	193	169	16
4773	0	2849	2862	2926	40	0	77	37	13
4769	0	2279	2335	3059	65	8	780	715	56
4927	0	3066	3079	3294	61	14	228	167	13
4776	0	3367	3394	3412	18	0	45	27	27
4874	0	3485	3514	3533	19	0	48	29	29
4978	0	3620	3659	3679	20	0	59	39	39
4778	0	3611	3650	3686	16	4	75	59	39
4976	0	3497	3533	3900	27	26	403	376	36
4826	0	3341	3374	3905	23	9	564	541	33
4827	0	3435	3454	3945	31	0	510	479	19
4934	0	3958	3969	3971	2	0	13	11	11
4775	0	3228	3244	3988	59	61	760	701	16
4875	0	3552	3590	4006	38	0	454	416	38
4831	0	4114	4118	4121	3	0	7	4	4
4832	0	4137	4141	4288	27	23	151	124	4
4882	0	4383	4384	4400	16	0	17	1	1
4834	0	4421	4520	4538	18	0	117	99	99
4988	0	4523	4638	4679	19	4	156	137	115
4941	0	4777	4859	4885	6	9	108	102	82
4885	0	4701	4739	4946	21	0	245	224	38
4780	0	4045	4064	4949	41	13	904	863	19
4937	0	4408	4460	4984	29	0	576	547	52
4939	0	4577	4641	4994	30	0	417	387	64
4986	0	4508	4578	5002	43	27	494	451	70
4884	0	4397	4420	5055	33	0	658	625	23
4835	0	4519	4602	5131	45	8	612	567	83
4837	0	5069	5075	5133	19	34	64	45	6
4890	0	5174	5190	5201	11	0	27	16	16
4993	0	5142	5150	5231	21	0	89	68	8
4942	0	4902	4905	5234	46	27	332	286	3
4947	0	5300	5351	5361	10	0	61	51	51
4842	0	5333	5381	5390	9	0	57	48	48
4839	0	5210	5229	5536	27	24	326	299	19
4840	0	5295	5331	5591	39	0	296	257	36
4933	0	3854	3866	5731	53	69	1877	1824	12
4895	0	5802	5811	5899	48	19	97	49	9
4897	0	5911	5916	5964	28	0	53	25	5
4995	0	6137	6224	6251	7	20	114	107	87
4793	0	6130	6204	6252	21	0	122	101	74
4786	0	5370	5410	6321	39	25	951	912	40
4844	0	6093	6124	6383	44	49	290	246	31
4796	0	6404	6432	6472	33	6	68	35	28
4899	0	6505	6556	6569	13	0	64	51	51
4799	0	6619	6629	6705	36	0	86	50	10
4847	0	6505	6539	6724	56	43	219	163	34
4894	0	5471	5490	6877	52	73	1406	1354	19
4928	0	3185	3188	6933	72	3	3748	3676	3
4812	0	1548	1550	7138	91	8	5590	5499	2
4863	0	1717	1745	7386	95	44	5669	5574	28
4887	0	4846	4861	7436	45	0	2590	2545	15
4861	0	1270	1282	7540	60	2	6270	6210	12
4814	0	1700	1705	7606	48	0	5906	5858	5
4790	0	5806	5830	7696	53	10	1890	1837	24
4777	0	3533	3566	7804	49	0	4271	4222	33
4891	0	5239	5251	7813	49	0	2574	2525	12
4864	0	1874	1875	7821	64	8	5947	5883	1
4781	0	4171	4217	7837	85	22	3666	3581	46
4859	0	967	1030	7928	51	0	6961	6910	63
4931	0	3741	3806	7960	83	8	4219	4136	65
4808	0	1281	1302	8080	54	28	6799	6745	21
4992	0	4751	4799	8253	53	0	3502	3449	48
4764	0	1144	1180	8278	69	20	7134	7065	36
4798	0	6579	6589	8399	54	0	1820	1766	10
4911	0	700	724	8421	56	3	7721	7665	24
4950	0	6097	6144	8513	56	0	2416	2360	47
4913	0	853	870	8789	59	0	7936	7877	17
4944	0	5088	5092	8872	84	7	3784	3700	4
4878	0	3731	3766	8924	94	26	5193	5099	35
4966	0	2266	2290	9017	90	10	6751	6661	24
4848	0	6665	6669	9190	87	20	2525	2438	4
4999	0	6778	6784	9201	98	4	2423	2325	6
4921	0	2386	2430	9438	95	7	7052	6957	44
4962	0	1978	2011	9509	113	39	7531	7418	33
4830	0	3733	3786	9728	97	5	5995	5898	53
4821	0	2531	2556	9936	76	2	7405	7329	25
4981	0	4158	4197	9952	76	18	5794	5718	39
0	0	0	0	10012	53666	0	10012	-43654	0
