id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2251	0	0	0	6	6	0	6	0	0
2351	0	0	41	43	2	0	43	41	41
2252	0	19	98	148	50	0	129	79	79
2451	0	0	90	206	66	6	206	140	90
2403	0	91	227	238	11	0	147	136	136
2352	0	97	238	240	2	0	143	141	141
2452	0	151	243	275	32	0	124	92	92
2404	0	151	240	333	61	7	182	121	89
2405	0	233	333	335	2	0	102	100	100
2302	0	296	347	425	78	0	129	51	51
2406	0	296	559	687	58	8	391	333	263
2303	0	497	820	929	109	0	432	323	323
2254	0	479	810	941	14	18	462	448	331
2354	0	488	816	1014	16	29	526	510	328
2255	0	562	1014	1062	48	0	500	452	452
2256	0	581	1062	1121	59	0	540	481	481
2453	0	611	1121	1166	45	0	555	510	510
2257	0	639	1166	1197	31	0	558	527	527
2355	0	664	1209	1290	56	6	626	570	545
2304	0	666	1211	1318	34	17	652	618	545
2357	0	786	1335	1341	6	0	555	549	549
2413	0	853	1382	1405	23	0	552	529	529
2358	0	910	1423	1431	8	0	521	513	513
2359	0	967	1580	1600	20	0	633	613	613
2415	0	1056	1657	1706	14	2	650	636	601
2456	0	1145	1750	1752	2	0	607	605	605
2416	0	1216	1752	1776	24	0	560	536	536
2264	0	1144	1743	1796	27	20	652	625	599
2306	0	1237	1796	1835	39	0	598	559	559
2310	0	1298	1964	1993	29	0	695	666	666
2458	0	1392	2024	2075	51	0	683	632	632
2362	0	1323	1993	2078	12	42	755	743	670
2311	0	1517	2122	2163	41	0	646	605	605
2417	0	1650	2177	2231	54	0	581	527	527
2455	0	1046	1646	2287	54	20	1241	1187	600
2313	0	1606	2175	2323	51	39	717	666	569
2314	0	1700	2323	2342	19	0	642	623	623
2263	0	1112	1732	2467	12	1	1355	1343	620
2364	0	1874	2487	2547	25	8	673	648	613
2316	0	1971	2559	2569	10	0	598	588	588
2420	0	2043	2582	2587	5	0	544	539	539
2317	0	2141	2631	2639	8	0	498	490	490
2266	0	2192	2639	2673	34	0	481	447	447
2464	0	2097	2623	2675	10	19	578	568	526
2465	0	2260	2725	2740	15	0	480	465	465
2268	0	2274	2784	2862	65	9	588	523	510
2319	0	2296	2862	2891	29	0	595	566	566
2365	0	2321	2891	2897	6	0	576	570	570
2422	0	2396	2929	2964	3	10	568	565	533
2270	0	2448	2964	2996	32	0	548	516	516
2470	0	2526	3126	3157	31	0	631	600	600
2471	0	2600	3185	3271	86	0	671	585	585
2271	0	2558	3180	3274	8	2	716	708	622
