id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2501	0	0	0	5	5	0	5	0	0
2601	0	0	33	35	2	0	35	33	33
2502	0	19	79	119	40	0	100	60	60
2551	0	0	5	137	29	7	137	108	5
2651	0	0	35	169	70	8	169	99	35
2701	0	0	73	215	52	6	215	163	73
2653	0	91	215	224	9	0	133	124	124
2602	0	97	224	226	2	0	129	127	127
2702	0	151	228	254	26	0	103	77	77
2655	0	233	284	286	2	0	53	51	51
2654	0	151	226	332	48	7	181	133	75
2552	0	296	342	404	62	0	108	46	46
2652	0	34	119	429	69	67	395	326	85
2656	0	296	404	716	46	8	420	374	108
2503	0	255	332	745	54	19	490	436	77
2553	0	497	753	840	87	0	343	256	256
2603	0	255	340	913	95	33	658	563	85
2505	0	562	913	951	38	0	389	351	351
2506	0	581	951	998	47	0	417	370	370
2657	0	403	536	1034	92	5	631	539	133
2703	0	611	1034	1070	36	0	459	423	423
2507	0	639	1070	1095	25	0	456	431	431
2658	0	410	592	1114	84	13	704	620	182
2659	0	467	716	1196	72	17	729	657	249
2504	0	479	745	1206	12	18	727	715	266
2607	0	786	1206	1211	5	0	425	420	420
2663	0	853	1244	1263	19	0	410	391	391
2660	0	513	840	1275	64	10	762	698	327
2608	0	910	1289	1295	6	0	385	379	379
2609	0	967	1399	1415	16	0	448	432	432
2605	0	664	1104	1565	45	6	901	856	440
2554	0	666	1106	1587	27	17	921	894	440
2661	0	700	1114	1590	18	3	890	872	414
2706	0	1145	1596	1598	2	0	453	451	451
2666	0	1216	1610	1629	19	0	413	394	394
2604	0	488	750	1635	12	29	1147	1135	262
2556	0	1237	1635	1666	31	0	429	398	398
2508	0	663	1095	1677	20	139	1014	994	432
2662	0	842	1211	1704	34	5	862	828	369
2560	0	1298	1782	1805	23	0	507	484	484
2510	0	929	1295	1842	42	5	913	871	366
2664	0	938	1324	1844	32	1	906	874	386
2708	0	1392	1878	1919	41	0	527	486	486
2511	0	953	1355	1921	46	1	968	922	402
2555	0	1043	1415	1968	49	1	925	876	372
2665	0	1056	1461	1976	11	2	920	909	405
2705	0	1046	1452	2010	43	20	964	921	406
2561	0	1517	2010	2043	33	0	526	493	493
2512	0	1087	1464	2052	37	30	965	928	377
2513	0	1112	1513	2053	10	1	941	931	401
2514	0	1144	1590	2091	22	20	947	925	446
2606	0	717	1129	2125	59	36	1408	1349	412
2667	0	1650	2125	2168	43	0	518	475	475
2564	0	1700	2168	2183	15	0	483	468	468
2557	0	1244	1677	2224	45	6	980	935	433
2611	0	1270	1704	2236	19	2	966	947	434
2558	0	1281	1717	2298	17	28	1017	1000	436
2559	0	1291	1731	2336	73	6	1045	972	440
2509	0	910	1275	2352	47	50	1442	1395	365
2704	0	943	1354	2376	36	21	1433	1397	411
2707	0	1377	1860	2396	38	27	1019	981	483
2566	0	1971	2467	2475	8	0	504	496	496
2670	0	2043	2486	2490	4	0	447	443	443
2567	0	2141	2565	2572	7	0	431	424	424
2516	0	2192	2572	2599	27	0	407	380	380
2565	0	1701	2183	2601	24	7	900	876	482
2715	0	2260	2653	2665	12	0	405	393	393
2569	0	2296	2713	2736	23	0	440	417	417
2669	0	1741	2273	2758	44	5	1017	973	532
2615	0	2321	2760	2765	5	0	444	439	439
2668	0	1724	2236	2780	52	50	1056	1004	512
2614	0	1874	2352	2809	20	8	935	915	478
2612	0	1323	1805	2811	9	42	1488	1479	482
2710	0	1943	2396	2864	67	2	921	854	453
2520	0	2448	2890	2916	26	0	468	442	442
2709	0	1425	1921	2972	74	24	1547	1473	496
2562	0	1548	2053	3102	29	8	1554	1525	505
2720	0	2526	3119	3144	25	0	618	593	593
2563	0	1606	2073	3228	41	39	1622	1581	467
2714	0	2097	2548	3230	9	19	1133	1124	451
2721	0	2600	3230	3299	69	0	699	630	630
2517	0	2223	2601	3320	30	29	1097	1067	378
2572	0	2676	3326	3367	41	0	691	650	650
2613	0	1717	2224	3379	30	44	1662	1632	507
2716	0	2266	2665	3396	29	10	1130	1101	399
2518	0	2274	2701	3446	52	9	1172	1120	427
2674	0	2713	3446	3454	8	0	741	733	733
2717	0	2273	2677	3529	72	17	1256	1184	404
2519	0	2279	2703	3539	20	8	1260	1240	424
2616	0	2741	3545	3549	4	0	808	804	804
2723	0	2792	3594	3630	36	0	838	802	802
2671	0	2386	2811	3693	30	7	1307	1277	425
2672	0	2396	2823	3694	3	10	1298	1295	427
2523	0	2849	3694	3707	13	0	858	845	845
2718	0	2462	2916	3788	65	3	1326	1261	454
2676	0	2981	3788	3811	23	0	830	807	807
2619	0	2982	3811	3844	33	0	862	829	829
2713	0	1990	2484	3893	80	6	1903	1823	494
2571	0	2531	3144	4076	24	2	1545	1521	613
2610	0	1098	1492	4095	117	46	2997	2880	394
2521	0	2558	3195	4097	6	2	1539	1533	637
2621	0	3218	4097	4164	67	0	946	879	879
2725	0	3309	4211	4234	23	0	925	902	902
2526	0	3367	4256	4262	6	0	895	889	889
2577	0	3435	4329	4339	10	0	904	894	894
2624	0	3485	4376	4382	6	0	897	891	891
2527	0	3533	4447	4462	15	0	929	914	914
2522	0	2724	3539	4468	6	5	1744	1738	815
2625	0	3552	4468	4480	12	0	928	916	916
2573	0	2734	3541	4508	32	12	1774	1742	807
2515	0	1760	2298	4521	72	22	2761	2689	538
2728	0	3620	4547	4553	6	0	933	927	927
2722	0	2785	3590	4659	93077	1874	1764	805
2570	0	2362	2780	4781	62	25	2419	2357	418
2617	0	2938	3728	4877	60	4	1939	1879	790
2677	0	3066	3925	5077	19	14	2011	1992	859
2711	0	1970	2457	5082	66	68	3112	3046	487
2684	0	3958	5082	5083	1	0	1125	1124	1124
2574	0	3084	3947	5085	23	3	2001	1978	863
2719	0	2495	3040	5095	87	11	2600	2513	545
2712	0	1978	2475	5157	36	39	3179	3143	497
2724	0	3107	4035	5164	38	16	2057	2019	928
2678	0	3185	4076	5181	24	3	1996	1972	891
2581	0	4114	5181	5182	1	0	1068	1067	1067
2575	0	3309	4168	5295	87	28	1986	1899	859
2576	0	3341	4249	5330	8	9	1989	1981	908
2631	0	4291	5330	5394	64	0	1103	1039	1039
2733	0	4330	5394	5443	49	0	1113	1064	1064
2679	0	3432	4308	5465	43	3	2033	1990	876
2622	0	3413	4262	5486	67	30	2073	2006	849
2680	0	3454	4339	5528	34	10	2074	2040	885
2632	0	4383	5528	5533	5	0	1150	1145	1145
2623	0	3461	4348	5568	51	19	2107	2056	887
2634	0	4397	5568	5578	10	0	1181	1171	1171
2734	0	4400	5578	5614	36	0	1214	1178	1178
2687	0	4408	5614	5623	9	0	1215	1206	1206
2726	0	3497	4382	5640	9	26	2143	2134	885
2688	0	4419	5640	5683	43	0	1264	1221	1221
2584	0	4421	5683	5689	6	0	1268	1262	1262
2675	0	2716	3454	5728	90	39	3012	2922	738
2533	0	4456	5728	5754	26	0	1298	1272	1272
2578	0	3525	4410	5801	76	39	2276	2200	885
2528	0	3611	4544	5843	5	4	2232	2227	933
2689	0	4577	5852	5862	10	0	1285	1275	1275
2635	0	4701	5906	5913	7	0	1212	1205	1205
2742	0	4751	6072	6089	17	0	1338	1321	1321
2580	0	3733	4795	6159	30	5	2426	2396	1062
2628	0	3731	4781	6174	29	26	2443	2414	1050
2637	0	4846	6195	6209	14	0	1363	1349	1349
2681	0	3741	4829	6257	26	8	2516	2490	1088
2673	0	2436	2864	6270	74	109	3834	3760	428
2618	0	2957	3753	6272	66	44	3315	3249	796
2529	0	3797	4921	6298	75	10	2501	2426	1124
2638	0	4997	6298	6338	40	0	1341	1301	1301
2693	0	4997	6338	6372	34	0	1375	1341	1341
2620	0	3051	3893	6438	67	109	3387	3320	842
2683	0	3854	5058	6451	17	69	2597	2580	1204
2743	0	5142	6451	6458	7	0	1316	1309	1309
2695	0	5147	6458	6505	47	0	1358	1311	1311
