id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3001	0	0	0	5	5	0	5	0	0
3101	0	0	5	7	2	0	7	5	5
3051	0	0	13	59	29	7	59	30	13
3153	0	91	97	106	9	0	15	6	6
3102	0	97	106	108	2	0	11	9	9
3151	0	0	59	170	70	8	170	100	59
3202	0	151	172	198	26	0	47	21	21
3152	0	34	41	220	69	67	186	117	7
3002	0	19	220	260	40	0	241	201	201
3155	0	233	260	262	2	0	29	27	27
3201	0	0	7	318	52	6	318	266	7
3156	0	296	318	399	46	8	103	57	22
3003	0	255	264	410	54	19	155	101	9
3154	0	151	170	456	48	7	305	257	19
3004	0	479	515	548	12	18	69	57	36
3157	0	403	456	584	92	5	181	89	53
3104	0	488	512	590	12	29	102	90	24
3005	0	562	590	628	38	0	66	28	28
3203	0	611	628	664	36	0	53	17	17
3007	0	639	680	705	25	0	66	41	41
3161	0	700	705	736	18	3	36	18	5
3054	0	666	675	758	27	17	92	65	9
3105	0	664	673	813	45	6	149	104	9
3107	0	786	813	818	5	0	32	27	27
3008	0	663	664	829	20	139	166	146	1
3106	0	717	720	863	59	36	146	87	3
3163	0	853	863	882	19	0	29	10	10
3108	0	910	915	921	6	0	11	5	5
3162	0	842	882	922	34	5	80	46	40
3010	0	929	936	1009	42	5	80	38	7
3164	0	938	966	1011	32	1	73	41	28
3109	0	967	1011	1027	16	0	60	44	44
3165	0	1056	1065	1085	11	2	29	18	9
3009	0	910	922	1096	47	50	186	139	12
3204	0	943	965	1115	36	21	172	136	22
3013	0	1112	1115	1146	10	1	34	24	3
3206	0	1145	1146	1148	2	0	3	1	1
3014	0	1144	1148	1198	22	20	54	32	4
3205	0	1046	1068	1242	43	20	196	153	22
3012	0	1087	1154	1251	37	30	164	127	67
3166	0	1216	1251	1270	19	0	54	35	35
3111	0	1270	1296	1329	19	2	59	40	26
3057	0	1244	1270	1350	45	6	106	61	26
3058	0	1281	1309	1358	17	28	77	60	28
3060	0	1298	1358	1381	23	0	83	60	60
3112	0	1323	1329	1401	9	42	78	69	6
3056	0	1237	1401	1432	31	0	195	164	164
3207	0	1377	1381	1452	38	27	75	37	4
3055	0	1043	1487	1579	49	1	536	487	444
3209	0	1425	1452	1585	74	24	160	86	27
3061	0	1517	1596	1629	33	0	112	79	79
3062	0	1548	1557	1639	29	8	91	62	9
3208	0	1392	1639	1680	41	0	288	247	247
3167	0	1650	1690	1733	43	0	83	40	40
3064	0	1700	1739	1754	15	0	54	39	39
3065	0	1701	1754	1790	24	7	89	65	53
3113	0	1717	1733	1842	30	44	125	95	16
3169	0	1741	1806	1864	44	5	123	79	65
3063	0	1606	1629	1893	41	39	287	246	23
3114	0	1874	1893	1950	20	8	76	56	19
3066	0	1971	1978	1986	8	0	15	7	7
3168	0	1724	1898	2022	52	50	298	246	174
3170	0	2043	2051	2055	4	0	12	8	8
3210	0	1943	1950	2111	67	2	168	101	7
3214	0	2097	2116	2164	9	19	67	58	19
3212	0	1978	1986	2169	36	39	191	155	8
3067	0	2141	2169	2176	7	0	35	28	28
3211	0	1970	1997	2243	66	68	273	207	27
3015	0	1760	1790	2256	72	22	496	424	30
3016	0	2192	2256	2283	27	0	91	64	64
3215	0	2260	2295	2307	12	0	47	35	35
3019	0	2279	2285	2317	20	8	38	18	6
3115	0	2321	2329	2334	5	0	13	8	8
3017	0	2223	2229	2355	30	29	132	102	6
3216	0	2266	2317	2372	29	10	106	77	51
3069	0	2296	2386	2409	23	0	113	90	90
3172	0	2396	2409	2424	3	10	28	25	13
3171	0	2386	2411	2466	30	7	80	50	25
3020	0	2448	2492	2518	26	0	70	44	44
3071	0	2531	2539	2589	24	2	58	34	8
3021	0	2558	2580	2591	6	2	33	27	22
3220	0	2526	2591	2616	25	0	90	65	65
3173	0	2436	2466	2696	74	109	260	186	30
3011	0	953	2647	2698	46	1	1745	1699	1694
3072	0	2676	2704	2745	41	0	69	28	28
3116	0	2741	2751	2755	4	0	14	10	10
3022	0	2724	2745	2759	6	5	35	29	21
3174	0	2713	2759	2767	8	0	54	46	46
3073	0	2734	2747	2853	32	12	119	87	13
3023	0	2849	2853	2866	13	0	17	4	4
3223	0	2792	2919	2955	36	0	163	127	127
3176	0	2981	3000	3023	23	0	42	19	19
3119	0	2982	3023	3056	33	0	74	41	41
3177	0	3066	3088	3128	19	14	62	43	22
3074	0	3084	3098	3130	23	3	46	23	14
3117	0	2938	2955	3196	60	4	258	198	17
3224	0	3107	3130	3203	38	16	96	58	23
3178	0	3185	3203	3249	24	3	64	40	18
3120	0	3051	3056	3266	67	109	215	148	5
3068	0	2241	2616	3307	131	59	1066	935	375
3175	0	2716	2782	3346	90	39	630	540	66
3025	0	3228	3233	3365	19	61	137	118	5
3076	0	3341	3346	3366	8	9	25	17	5
3225	0	3309	3366	3389	23	0	80	57	57
3026	0	3367	3389	3395	6	0	28	22	22
3077	0	3435	3438	3448	10	0	13	3	3
3179	0	3432	3448	3500	43	3	68	25	16
3124	0	3485	3504	3510	6	0	25	19	19
3180	0	3454	3469	3535	34	10	81	47	15
3226	0	3497	3500	3540	9	26	43	34	3
3027	0	3533	3540	3555	15	0	22	7	7
3125	0	3552	3557	3569	12	0	17	5	5
