id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5251	0	0	0	18	18	0	18	0	0
5351	0	0	62	68	6	0	68	62	62
5403	0	91	137	170	33	0	79	46	46
5352	0	97	210	215	5	0	118	113	113
5405	0	233	233	240	7	0	7	0	0
5254	0	479	488	666	42	18	187	145	9
5357	0	786	910	929	19	0	143	124	124
5358	0	910	929	972	24	0	62	38	19
5456	0	1145	1244	1249	5	0	104	99	99
5420	0	2043	2069	2083	14	0	40	26	26
5314	0	1700	1865	2128	59	0	428	369	165
5464	0	2097	2128	2266	32	19	169	137	31
5365	0	2321	2436	2462	18	0	141	123	115
5422	0	2396	2515	2699	8	10	303	295	119
5272	0	2724	2889	3024	21	5	300	279	165
5271	0	2558	2724	3031	22	2	473	451	166
5362	0	1323	1445	3091	32	42	1768	1736	122
5424	0	2713	2832	3139	29	0	426	397	119
5366	0	2741	2924	3196	13	0	455	442	183
5434	0	3958	3974	3976	2	0	18	16	16
5374	0	3485	3954	3996	24	0	511	487	469
5476	0	3497	3958	4037	33	26	540	507	461
5326	0	3341	3485	4113	28	9	772	744	144
5331	0	4114	4137	4141	4	0	27	23	23
5332	0	4137	4157	4304	33	23	167	134	20
5382	0	4383	4412	4630	20	0	247	227	29
5334	0	4421	4455	4771	22	0	350	328	34
5488	0	4523	4828	5062	24	4	539	515	305
5384	0	4397	4476	5202	40	0	805	765	79
5441	0	4777	5128	5351	7	9	574	567	351
5390	0	5174	5438	5452	14	0	278	264	264
5335	0	4519	4788	5624	56	8	1105	1049	269
5447	0	5300	5691	5703	12	0	403	391	391
5486	0	4508	4751	5814	53	27	1306	1253	243
5337	0	5069	5280	5990	23	34	921	898	211
5293	0	6130	6315	6361	26	0	231	205	185
5342	0	5333	5802	6386	11	0	1053	1042	469
5495	0	6137	6361	6456	9	20	319	310	224
5399	0	6505	6579	6595	16	0	90	74	74
5296	0	6404	6504	6863	41	6	459	418	100
5276	0	3367	3525	6878	23	0	3511	3488	158
5278	0	3611	6916	7036	19	4	3425	3406	3305
5277	1	3533	4045	8054	60	0	4521	4461	512
5316	1	1971	1990	8216	30	0	6245	6215	19
5280	1	4045	4059	8219	50	13	4174	4124	14
5437	1	4408	4523	8502	35	0	4094	4059	115
5263	1	1112	1165	8522	35	1	7410	7375	53
5439	1	4577	4649	8709	37	0	4132	4095	72
5411	1	700	712	8739	69	3	8039	7970	12
5385	1	4701	4922	8923	26	0	4222	4196	221
5415	1	1056	1098	9016	44	2	7960	7916	42
5442	1	4902	5239	9581	56	27	4679	4623	337
5387	1	4846	5174	9737	56	0	4891	4835	328
5493	1	5142	5384	9782	25	0	4640	4615	242
0	0	0	0	10002	59148	0	10002	-49146	0
