id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5751	0	0	0	7	7	0	7	0	0
5851	0	0	27	30	3	0	30	27	27
5903	0	91	179	192	13	0	101	88	88
5852	0	97	192	194	2	0	97	95	95
5752	0	19	59	279	60	0	260	200	40
5801	0	0	7	281	43	7	281	238	7
5905	0	233	341	344	3	0	111	108	108
5952	0	151	219	362	38	0	211	173	68
5951	0	0	50	530	78	6	530	452	50
5901	0	0	30	623	104	8	623	519	30
5754	0	479	643	975	17	18	496	479	164
5904	0	151	216	984	72	7	833	761	65
5857	0	786	1121	1128	7	0	342	335	335
5858	0	910	1308	1317	9	0	407	398	398
5757	0	639	894	1334	37	0	695	658	255
5902	0	34	99	1407	103	67	1373	1270	65
5854	0	488	670	1517	18	29	1029	1011	182
5753	0	255	362	1569	79	19	1314	1235	107
5758	0	663	941	1649	31	139	986	955	278
5956	0	1145	1730	1732	2	0	587	585	585
5755	0	562	774	1749	57	0	1187	1130	212
5913	0	853	1208	1837	28	0	984	956	355
5802	0	296	396	1890	93	0	1594	1501	100
5906	0	296	416	1895	70	8	1599	1529	120
5953	0	611	874	1947	53	0	1336	1283	263
5859	0	967	1448	2175	24	0	1208	1184	481
5804	0	666	958	2188	40	17	1522	1482	292
5911	0	700	1009	2232	27	3	1532	1505	309
5915	0	1056	1569	2298	17	2	1242	1225	513
5763	0	1112	1689	2450	14	1	1338	1324	577
5756	0	581	814	2572	70	0	1991	1921	233
5916	0	1216	1809	2589	28	0	1373	1345	593
5861	0	1270	1895	2645	28	2	1375	1347	625
5816	0	1971	2700	2712	12	0	741	729	729
5810	0	1298	1967	2740	35	0	1442	1407	669
5920	0	2043	2776	2782	6	0	739	733	733
5817	0	2141	2861	2871	10	0	730	720	720
5965	0	2260	3020	3038	18	0	778	760	760
5865	0	2321	3150	3157	7	0	836	829	829
5910	0	513	714	3175	96	10	2662	2566	201
5814	0	1700	2409	3282	22	0	1582	1560	709
5764	0	1144	1722	3465	32	20	2321	2289	578
5912	0	842	1188	3537	51	5	2695	2644	346
5806	0	1237	1837	3564	47	0	2327	2280	600
5808	0	1281	1914	3628	25	28	2347	2322	633
5924	0	2713	3668	3679	11	0	966	955	955
5866	0	2741	3727	3732	5	0	991	986	986
5760	0	929	1334	3791	62	5	2862	2800	405
5914	0	938	1354	3807	47	1	2869	2822	416
5862	0	1323	1988	3810	13	42	2487	2474	665
5909	0	467	623	3896	107	17	3429	3322	156
5773	0	2849	3896	3915	19	0	1066	1047	1047
5964	0	2097	2828	3918	13	19	1821	1808	731
5855	0	664	955	3962	68	6	3298	3230	291
5766	0	2192	2911	3982	40	0	1790	1750	719
5811	0	1517	2208	4091	49	0	2574	2525	691
5805	0	1043	1520	4149	73	1	3106	3033	477
5812	0	1548	2252	4215	42	8	2667	2625	704
5769	0	2279	3095	4325	30	8	2046	2016	816
5955	0	1046	1540	4336	64	20	3290	3226	494
5819	0	2296	3130	4351	35	0	2055	2020	834
5856	0	717	1041	4398	88	36	3681	3593	324
5762	0	1087	1612	4457	55	30	3370	3315	525
5922	0	2396	3270	4498	3	10	2102	2099	874
5770	0	2448	3317	4615	38	0	2167	2129	869
5815	0	1701	2429	4628	35	7	2927	2892	728
5776	0	3367	4628	4637	9	0	1270	1261	1261
5863	0	1717	2450	4750	44	44	3033	2989	733
5827	0	3435	4750	4765	15	0	1330	1315	1315
5874	0	3485	4839	4848	9	0	1363	1354	1354
5970	0	2526	3465	4865	37	0	2339	2302	939
5771	0	2558	3509	4884	9	2	2326	2317	951
5875	0	3552	4927	4945	18	0	1393	1375	1375
5864	0	1874	2609	4967	30	8	3093	3063	735
5807	0	1244	1857	4975	67	6	3731	3664	613
5978	0	3620	4999	5008	9	0	1388	1379	1379
5772	0	2724	3699	5147	8	5	2423	2415	975
5759	0	910	1288	5326	70	50	4416	4346	378
5958	0	1392	2051	5382	61	0	3990	3929	659
5957	0	1377	2031	5391	55	27	4014	3959	654
5954	0	943	1407	5399	52	21	4456	4404	464
5934	0	3958	5399	5400	1	0	1442	1441	1441
5761	0	953	1408	5403	69	1	4450	4381	455
5803	0	497	674	5452	131	0	4955	4824	177
5926	0	2981	4042	5494	34	0	2513	2479	1061
5767	0	2223	2951	5534	46	29	3311	3265	728
5831	0	4114	5534	5536	2	0	1422	1420	1420
5927	0	3066	4169	5635	28	14	2569	2541	1103
5966	0	2266	3038	5640	43	10	3374	3331	772
5928	0	3185	4351	5848	34	3	2663	2629	1166
5882	0	4383	5848	5856	8	0	1473	1465	1465
5884	0	4397	5894	5909	15	0	1512	1497	1497
5937	0	4408	5929	5943	14	0	1535	1521	1521
5834	0	4421	6000	6009	9	0	1588	1579	1579
5917	0	1650	2358	6058	64	0	4408	4344	708
5921	0	2386	3252	6084	44	7	3698	3654	866
5853	0	255	373	6107	143	33	5852	5709	118
5939	0	4577	6157	6171	14	0	1594	1580	1580
5975	0	3309	4558	6185	34	0	2876	2842	1249
5826	0	3341	4615	6206	12	9	2865	2853	1274
5907	0	403	530	6239	137	5	5836	5699	127
5885	0	4701	6279	6289	10	0	1588	1578	1578
5919	0	1741	2482	6493	65	5	4752	4687	741
5821	0	2531	3485	6541	36	2	4010	3974	954
5976	0	3497	4865	6568	13	26	3071	3058	1368
5777	0	3533	4904	6603	23	0	3070	3047	1371
5908	0	410	550	6607	125	13	6197	6072	140
5778	0	3611	4995	6695	7	4	3084	3077	1384
5993	0	5142	6856	6866	10	0	1724	1714	1714
5890	0	5174	6945	6950	5	0	1776	1771	1771
5931	0	3741	5225	7056	39	8	3315	3276	1484
5840	0	5295	7106	7124	18	0	1829	1811	1811
5947	0	5300	7124	7129	5	0	1829	1824	1824
5842	0	5333	7169	7174	5	0	1841	1836	1836
5973	0	2792	3816	7188	54	0	4396	4342	1024
5933	0	3854	5366	7356	25	69	3502	3477	1512
5869	0	2982	4062	7451	49	0	4469	4420	1080
5832	0	4137	5543	7487	13	23	3350	3337	1406
5824	0	3084	4215	7562	34	3	4478	4444	1131
5813	0	1606	2298	7756	60	39	6150	6090	692
5897	0	5911	7756	7769	13	0	1858	1845	1845
5783	0	4456	6034	7908	39	0	3452	3413	1578
5775	0	3228	4418	7925	28	61	4697	4669	1190
5986	0	4508	6084	8079	20	27	3571	3551	1576
5988	0	4523	6115	8088	10	4	3565	3555	1592
5835	0	4519	6107	8102	22	8	3583	3561	1588
5793	0	6130	8102	8112	10	0	1982	1972	1972
5992	0	4751	6340	8371	25	0	3620	3595	1589
5918	0	1724	2462	8373	77	50	6649	6572	738
5941	0	4777	6420	8434	3	9	3657	3654	1643
5930	0	3454	4785	8472	52	10	5018	4966	1331
5899	0	6505	8502	8508	6	0	2003	1997	1997
5887	0	4846	6493	8509	21	0	3663	3642	1647
5799	0	6619	8612	8629	17	0	2010	1993	1993
5822	0	2676	3628	8786	62	0	6110	6048	952
5837	0	5069	6775	8822	9	34	3753	3744	1706
5809	0	1291	1947	8895	109	6	7604	7495	656
5830	0	3733	5187	9066	45	5	5333	5288	1454
5839	0	5210	6975	9078	13	24	3868	3855	1765
5823	0	2734	3721	9080	48	12	6346	6298	987
5891	0	5239	7016	9103	23	0	3864	3841	1777
5962	0	1978	2712	9131	54	39	7153	7099	734
5787	0	5384	7246	9286	35	0	3902	3867	1862
5786	0	5370	7228	9287	19	25	3917	3898	1858
5893	0	5438	7306	9308	29	0	3870	3841	1868
5780	0	4045	5462	9350	20	13	5305	5285	1417
5894	0	5471	7356	9382	24	73	3911	3887	1885
5981	0	4158	5571	9470	36	18	5312	5276	1413
5936	0	4214	5640	9522	34	27	5308	5274	1426
5768	0	2274	3093	9583	77	9	7309	7232	819
5974	0	3107	4290	9614	57	16	6507	6450	1183
5895	0	5802	7661	9628	23	19	3826	3803	1859
5790	0	5806	7670	9633	25	10	3827	3802	1864
5984	0	4400	5909	9727	54	0	5327	5273	1509
5950	0	6097	7994	9831	26	0	3734	3708	1897
5844	0	6093	7983	9850	21	49	3757	3736	1890
5987	0	4510	6091	9866	40	12	5356	5316	1581
5995	0	6137	8132	9899	4	20	3762	3758	1995
0	0	0	0	10004	20615	0	10004	-10611	0
