id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1641	0	0	0	4	4	0	4	0	0
1665	0	0	25	27	2	0	27	25	25
1642	0	19	60	90	30	0	71	41	41
1689	0	0	55	125	40	6	125	85	55
1679	0	91	138	145	7	0	54	47	47
1666	0	97	145	146	1	0	49	48	48
1653	0	0	4	147	22	7	147	125	4
1677	0	0	27	171	52	8	171	119	27
1690	0	151	173	192	19	0	41	22	22
1680	0	151	171	227	37	7	76	39	20
1681	0	233	250	252	2	0	19	17	17
1654	0	296	347	394	47	0	98	51	51
1678	0	34	125	414	53	67	380	327	91
1682	0	296	394	447	36	8	151	115	98
1655	0	497	570	636	66	0	139	73	73
1644	0	479	564	644	9	18	165	156	85
1668	0	488	568	688	10	29	200	190	80
1645	0	562	688	717	29	0	155	126	126
1646	0	581	717	752	35	0	171	136	136
1691	0	611	752	779	27	0	168	141	141
1647	0	639	779	798	19	0	159	140	140
1669	0	664	805	856	35	6	192	157	141
1656	0	666	807	873	21	17	207	186	141
1671	0	786	883	887	4	0	101	97	97
1672	0	910	932	937	5	0	27	22	22
1648	0	663	798	968	16	139	305	289	135
1670	0	717	873	993	44	36	276	232	156
1673	0	967	1039	1051	12	0	84	72	72
1692	0	943	993	1082	27	21	139	112	50
1693	0	1046	1110	1164	33	20	118	85	64
1694	0	1145	1180	1181	1	0	36	35	35
1687	0	700	811	1183	14	3	483	469	111
1685	0	467	550	1223	54	17	756	702	83
1649	0	910	921	1231	36	50	321	285	11
1658	0	1237	1239	1263	24	0	26	2	2
1662	0	1298	1377	1395	18	0	97	79	79
1675	0	1270	1318	1402	15	2	132	117	48
1660	0	1281	1328	1404	13	28	123	110	47
1696	0	1392	1421	1452	31	0	60	29	29
1676	0	1323	1395	1454	8	42	131	123	72
1695	0	1377	1404	1496	28	27	119	91	27
1652	0	1087	1117	1503	28	30	416	388	30
1659	0	1244	1298	1517	34	6	273	239	54
1650	0	929	937	1527	32	5	598	566	8
1663	0	1517	1527	1552	25	0	35	10	10
1643	0	255	255	1567	40	19	1312	1272	0
1688	0	842	887	1577	26	5	735	709	45
1664	0	1548	1552	1608	22	8	60	38	4
1657	0	1043	1082	1617	37	1	574	537	39
1651	0	953	994	1619	35	1	666	631	41
1697	0	1425	1454	1624	57	24	199	142	29
1686	0	513	644	1657	48	10	1144	1096	131
1674	0	1098	1164	1662	88	46	564	476	66
1661	0	1291	1339	1679	55	6	388	333	48
1683	0	403	447	1706	69	5	1303	1234	44
1667	0	255	261	1722	72	33	1467	1395	6
1684	0	410	489	1724	63	13	1314	1251	79
1698	0	1943	1943	1996	51	2	53	2	0
1700	0	1978	2003	2093	28	39	115	87	25
1699	0	1970	1996	2114	50	68	144	94	26
0	0	0	0	2114	13542	0	2114	-11428	0
