id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2376	0	0	0	4	4	0	4	0	0
2406	0	0	25	27	2	0	27	25	25
2377	0	19	60	90	30	0	71	41	41
2391	0	0	4	91	22	7	91	69	4
2421	0	0	27	128	52	8	128	76	27
2436	0	0	55	163	40	6	163	123	55
2423	0	91	163	170	7	0	79	72	72
2407	0	97	170	171	1	0	74	73	73
2437	0	151	196	215	19	0	64	45	45
2424	0	151	194	250	37	7	99	62	43
2425	0	233	250	252	2	0	19	17	17
2422	0	34	91	269	53	67	235	182	57
2392	0	296	361	408	47	0	112	65	65
2378	0	255	269	419	40	19	164	124	14
2408	0	255	275	435	72	33	180	108	20
2426	0	296	408	571	36	8	275	239	112
2427	0	403	435	616	69	5	213	144	32
2393	0	497	618	684	66	0	187	121	121
2428	0	410	477	725	63	13	315	252	67
2380	0	562	725	754	29	0	192	163	163
2381	0	581	754	789	35	0	208	173	173
2429	0	467	571	829	54	17	362	308	104
2379	0	479	585	834	9	18	355	346	106
2438	0	611	834	861	27	0	250	223	223
2382	0	639	864	883	19	0	244	225	225
2430	0	513	684	927	48	10	414	366	171
2412	0	786	927	931	4	0	145	141	141
2433	0	853	956	970	14	0	117	103	103
2409	0	488	616	975	10	29	487	477	128
2410	0	664	890	1008	35	6	344	309	226
2413	0	910	1019	1024	5	0	114	109	109
2431	0	700	896	1026	14	3	326	312	196
2394	0	666	892	1043	21	17	377	356	226
2432	0	842	931	1131	26	5	289	263	89
2414	0	967	1131	1143	12	0	176	164	164
2383	0	663	883	1152	16	139	489	473	220
2385	0	929	1043	1217	32	5	288	256	114
2434	0	938	1074	1240	24	1	302	278	136
2411	0	717	908	1281	44	36	564	520	191
2386	0	953	1097	1302	35	1	349	314	144
2441	0	1145	1306	1307	1	0	162	161	161
2395	0	1043	1152	1316	37	1	273	236	109
2435	0	1056	1187	1322	9	2	266	257	131
2440	0	1046	1180	1348	33	20	302	269	134
2384	0	910	1008	1356	36	50	446	410	98
2396	0	1237	1356	1380	24	0	143	119	119
2387	0	1087	1217	1407	28	30	320	292	130
2400	0	1298	1474	1492	18	0	194	176	176
2388	0	1112	1293	1493	8	1	381	373	181
2439	0	943	1096	1507	27	21	564	537	153
2389	0	1144	1302	1521	16	20	377	361	158
2443	0	1392	1534	1565	31	0	173	142	142
2397	0	1244	1380	1579	34	6	335	301	136
2416	0	1270	1407	1584	15	2	314	299	137
2398	0	1281	1417	1613	13	28	332	319	136
2399	0	1291	1428	1630	55	6	339	284	137
2401	0	1517	1665	1690	25	0	173	148	148
2442	0	1377	1521	1716	28	27	339	311	144
2404	0	1700	1766	1777	11	0	77	66	66
2417	0	1323	1507	1809	8	42	486	478	184
2444	0	1425	1584	1822	57	24	397	340	159
2415	0	1098	1240	1839	88	46	741	653	142
2405	0	1701	1777	1840	18	7	139	121	76
2402	0	1548	1694	1846	22	8	298	276	146
2403	0	1606	1716	1868	31	39	262	231	110
2419	0	1874	1878	1901	15	8	27	12	4
2418	0	1717	1803	1941	22	44	224	202	86
2390	0	1760	1822	1951	54	22	191	137	62
2445	0	1943	1951	2009	51	2	66	15	8
2448	0	1990	2016	2119	60	6	129	69	26
2447	0	1978	2009	2141	28	39	163	135	31
2446	0	1970	1972	2145	50	68	175	125	2
2449	0	2097	2132	2158	7	19	61	54	35
2450	0	2260	2260	2269	9	0	9	0	0
2420	0	2321	2321	2325	4	0	4	0	0
0	0	0	0	2325	14936	0	2325	-12611	0
