id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2526	0	0	0	4	4	0	4	0	0
2556	0	0	4	6	2	0	6	4	4
2541	0	0	11	61	22	7	61	39	11
2571	0	0	32	98	52	8	98	46	32
2557	0	97	98	99	1	0	2	1	1
2573	0	91	99	106	7	0	15	8	8
2527	0	19	129	159	30	0	140	110	110
2587	0	151	161	180	19	0	29	10	10
2572	0	34	61	197	53	67	163	110	27
2586	0	0	6	232	40	6	232	192	6
2574	0	151	159	267	37	7	116	79	8
2575	0	233	267	269	2	0	36	34	34
2542	0	296	312	359	47	0	63	16	16
2528	0	255	271	367	40	19	112	72	16
2576	0	296	309	400	36	8	104	68	13
2558	0	255	269	535	72	33	280	208	14
2529	0	479	498	540	9	18	61	52	19
2559	0	488	496	545	10	29	57	47	8
2577	0	403	454	572	69	5	169	100	51
2530	0	562	572	601	29	0	39	10	10
2531	0	581	601	636	35	0	55	20	20
2588	0	611	636	663	27	0	52	25	25
2532	0	639	663	682	19	0	43	24	24
2560	0	664	682	728	35	6	64	29	18
2544	0	666	684	767	21	17	101	80	18
2581	0	700	738	769	14	3	69	55	38
2562	0	786	817	821	4	0	35	31	31
2561	0	717	728	846	44	36	129	85	11
2580	0	513	778	855	48	10	342	294	265
2533	0	663	688	864	16	139	201	185	25
2583	0	853	864	878	14	0	25	11	11
2579	0	467	505	943	54	17	476	422	38
2582	0	842	878	944	26	5	102	76	36
2563	0	910	945	950	5	0	40	35	35
2564	0	967	973	985	12	0	18	6	6
2589	0	943	944	1021	27	21	78	51	1
2535	0	929	985	1031	32	5	102	70	56
2584	0	938	1055	1082	24	1	144	120	117
2534	0	910	950	1090	36	50	180	144	40
2585	0	1056	1077	1096	9	2	40	31	21
2538	0	1112	1117	1141	8	1	29	21	5
2590	0	1046	1048	1167	33	20	121	88	2
2591	0	1145	1167	1168	1	0	23	22	22
2537	0	1087	1096	1179	28	30	92	64	9
2545	0	1043	1179	1224	37	1	181	144	136
2539	0	1144	1168	1236	16	20	92	76	24
2536	0	953	1236	1291	35	1	338	303	283
2566	0	1270	1291	1317	15	2	47	32	21
2547	0	1244	1269	1331	34	6	87	53	25
2550	0	1298	1333	1351	18	0	53	35	35
2548	0	1281	1301	1353	13	28	72	59	20
2546	0	1237	1357	1381	24	0	144	120	120
2567	0	1323	1331	1396	8	42	73	65	8
2593	0	1392	1396	1427	31	0	35	4	4
2592	0	1377	1381	1442	28	27	65	37	4
2594	0	1425	1442	1558	57	24	133	76	17
2565	0	1098	1124	1563	88	46	465	377	26
2551	0	1517	1570	1595	25	0	78	53	53
2552	0	1548	1563	1649	22	8	101	79	15
2549	0	1291	1604	1666	55	6	375	320	313
2554	0	1700	1739	1750	11	0	50	39	39
2578	0	410	1666	1752	63	13	1342	1279	1256
2568	0	1717	1727	1800	22	44	83	61	10
2555	0	1701	1773	1801	18	7	100	82	72
2553	0	1606	1642	1823	31	39	217	186	36
2543	0	497	1854	1920	66	0	1423	1357	1357
2540	0	1760	1761	1934	54	22	174	120	1
2569	0	1874	1920	1945	15	8	71	56	46
2595	0	1943	1945	1998	51	2	55	4	2
2598	0	1990	1998	2115	60	6	125	65	8
2597	0	1978	2006	2137	28	39	159	131	28
2596	0	1970	1999	2141	50	68	171	121	29
2599	0	2097	2119	2145	7	19	48	41	22
2600	0	2260	2260	2269	9	0	9	0	0
2570	0	2321	2321	2325	4	0	4	0	0
0	0	0	0	2325	15290	0	2325	-12965	0
