id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3236	0	0	0	4	4	0	4	0	0
3270	0	0	77	79	2	0	79	77	77
3253	0	0	0	92	22	7	92	70	0
3289	0	91	93	117	7	0	26	19	2
3271	0	97	117	118	1	0	21	20	20
3304	0	0	19	156	40	6	156	116	19
3305	0	151	156	175	19	0	24	5	5
3237	1	19	30	216	30	0	197	167	11
3290	1	151	151	226	37	7	75	38	0
3291	0	233	233	235	2	0	2	0	0
3288	1	34	79	249	53	67	215	162	45
3238	0	255	255	347	40	19	92	52	0
3254	1	296	296	393	47	0	97	50	0
3239	0	479	479	517	9	18	38	29	0
3273	0	488	488	547	10	29	59	49	0
3306	0	611	659	692	27	0	81	54	48
3296	0	513	517	703	48	10	190	142	4
3256	0	666	677	739	21	17	73	52	11
3242	0	639	663	757	19	0	118	99	24
3297	0	700	708	779	14	3	79	65	8
3276	0	786	786	790	4	0	4	0	0
3295	1	467	467	827	54	17	360	306	0
3243	0	663	698	862	16	139	199	183	35
3275	0	717	725	877	44	36	160	116	8
3298	0	842	842	903	26	5	61	35	0
3299	0	853	897	912	14	0	59	45	44
3277	0	910	912	917	5	0	7	2	2
3300	0	938	938	1014	24	1	76	52	0
3245	0	929	929	1042	32	5	113	81	0
3244	0	910	910	1052	36	50	142	106	0
3278	0	967	1043	1068	12	0	101	89	76
3246	0	953	958	1073	35	1	120	85	5
3301	0	1056	1068	1101	9	2	45	36	12
3309	0	1145	1168	1169	1	0	24	23	23
3307	0	943	953	1187	27	21	244	217	10
3248	0	1112	1140	1188	8	1	76	68	28
3257	0	1043	1073	1197	37	1	154	117	30
3308	0	1046	1056	1213	33	20	167	134	10
3249	0	1144	1169	1228	16	20	84	68	25
3247	0	1087	1141	1232	28	30	145	117	54
3302	0	1216	1237	1282	14	0	66	52	21
3280	0	1270	1276	1328	15	2	58	43	6
3262	0	1298	1335	1355	18	0	57	39	37
3259	0	1244	1273	1393	34	6	149	115	29
3260	0	1281	1287	1427	13	28	146	133	6
3281	0	1323	1328	1449	8	42	126	118	5
3310	0	1377	1390	1466	28	27	89	61	13
3311	1	1392	1395	1497	31	0	105	74	3
3292	1	296	328	1504	36	8	1208	1172	32
3264	0	1548	1548	1578	22	8	30	8	0
3263	1	1517	1517	1589	25	0	72	47	0
3258	1	1237	1244	1593	24	0	356	332	7
3274	1	664	717	1613	35	6	949	914	53
3240	1	562	581	1650	29	0	1088	1059	19
3265	1	1606	1606	1696	31	39	90	59	0
3266	0	1700	1700	1727	11	0	27	16	0
3267	0	1701	1701	1740	18	7	39	21	0
3293	1	403	403	1782	69	5	1379	1310	0
3282	0	1717	1727	1793	22	44	76	54	10
3287	1	0	30	1851	52	8	1851	1799	30
3241	1	581	611	1864	35	0	1283	1248	30
3250	1	1760	1760	1874	54	22	114	60	0
3312	1	1425	1449	1883	57	24	458	401	24
3283	0	1874	1874	1897	15	8	23	8	0
3255	1	497	497	1903	66	0	1406	1340	0
3294	1	410	410	1919	63	13	1509	1446	0
3303	1	1650	1650	1922	32	0	272	240	0
3268	0	1971	1971	1983	6	0	12	6	0
3272	1	255	255	2091	72	33	1836	1764	0
3315	0	1978	1983	2095	28	39	117	89	5
3317	0	2097	2097	2123	7	19	26	19	0
3314	0	1970	1970	2133	50	68	163	113	0
3269	0	2141	2141	2146	5	0	5	0	0
3261	1	1291	1366	2152	55	6	861	806	75
3313	1	1943	1943	2166	51	2	223	172	0
3316	1	1990	1990	2183	60	6	193	133	0
3251	0	2192	2192	2212	20	0	20	0	0
3279	2	1098	1112	2213	88	46	1115	1027	14
3318	0	2260	2260	2276	9	0	16	7	0
3252	0	2223	2223	2284	23	29	61	38	0
3284	0	2321	2321	2345	4	0	24	20	0
3319	0	2266	2302	2358	22	10	92	70	36
3320	1	2273	2284	2372	54	17	99	45	11
3285	0	2741	2741	2744	3	0	3	0	0
3286	1	2938	2938	2987	45	4	49	4	0
0	0	0	0	2987	19529	0	2987	-16542	0
