id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7011	0	0	0	4	4	0	4	0	0
7059	0	0	24	26	2	0	26	24	24
7012	0	19	51	123	30	0	104	74	32
7035	0	0	4	124	22	7	124	102	4
7085	0	91	124	131	7	0	40	33	33
7060	0	97	131	132	1	0	35	34	34
7107	0	0	46	187	40	6	187	147	46
7108	0	151	189	208	19	0	57	38	38
7083	0	0	26	212	52	8	212	160	26
7087	0	233	235	237	2	0	4	2	2
7086	0	151	187	252	37	7	101	64	36
7084	0	34	72	280	53	67	246	193	38
7013	0	255	255	417	40	19	162	122	0
7036	0	296	320	438	47	0	142	95	24
7088	0	296	340	471	36	8	175	139	44
7061	0	255	261	507	72	33	252	180	6
7014	0	479	541	657	9	18	178	169	62
7091	0	467	527	796	54	17	329	275	60
7017	0	639	796	815	19	0	176	157	157
7062	0	488	545	820	10	29	332	322	57
7015	0	562	632	829	29	0	267	238	70
7016	0	581	677	858	35	0	277	242	96
7092	0	513	587	909	48	10	396	348	74
7109	0	611	736	916	27	0	305	278	125
7089	0	403	438	923	69	5	520	451	35
7065	0	786	923	927	4	0	141	137	137
7095	0	853	967	981	14	0	128	114	114
7090	0	410	471	983	63	13	573	510	61
7038	0	666	838	1000	21	17	334	313	172
7093	0	700	858	1002	14	3	302	288	158
7037	0	497	567	1017	66	0	520	454	70
7066	0	910	1028	1033	5	0	123	118	118
7067	0	967	1099	1111	12	0	144	132	132
7063	0	664	836	1124	35	6	460	425	172
7018	0	663	829	1133	16	139	470	454	166
7094	0	842	927	1217	26	5	375	349	85
7112	0	1145	1277	1278	1	0	133	132	132
7064	0	717	870	1283	44	36	566	522	153
7020	0	929	1033	1301	32	5	372	340	104
7097	0	1056	1182	1307	9	2	251	242	126
7096	0	938	1053	1329	24	1	391	367	115
7019	0	910	1017	1337	36	50	427	391	107
7098	0	1216	1337	1351	14	0	135	121	121
7110	0	943	1073	1365	27	21	422	395	130
7021	0	953	1079	1408	35	1	455	420	126
7023	0	1112	1266	1419	8	1	307	299	154
7039	0	1043	1153	1459	37	1	416	379	110
7024	0	1144	1273	1479	16	20	335	319	129
7044	0	1298	1479	1497	18	0	199	181	181
7111	0	1046	1173	1505	33	20	459	426	127
7040	0	1237	1365	1522	24	0	285	261	128
7041	0	1244	1386	1556	34	6	312	278	142
7022	0	1087	1217	1563	28	30	476	448	130
7069	0	1270	1408	1568	15	2	298	283	138
7042	0	1281	1419	1608	13	28	327	314	138
7114	0	1392	1522	1663	31	0	271	240	130
7113	0	1377	1505	1678	28	27	301	273	128
7043	0	1291	1430	1710	55	6	419	364	139
7045	0	1517	1632	1750	25	0	233	208	115
7070	0	1323	1497	1752	8	42	429	421	174
7048	0	1700	1761	1772	11	0	72	61	61
7099	0	1650	1725	1890	32	0	240	208	75
7046	0	1548	1678	1908	22	8	360	338	130
7049	0	1701	1772	1909	18	7	208	190	71
7101	0	1741	1861	1975	33	5	234	201	120
7115	0	1425	1568	1981	57	24	556	499	143
7071	0	1717	1809	2010	22	44	293	271	92
7047	0	1606	1692	2012	31	39	406	375	86
7068	0	1098	1237	2017	88	46	919	831	139
7072	0	1874	1955	2028	15	8	154	139	81
7050	0	1971	2035	2041	6	0	70	64	64
7100	0	1724	1813	2059	39	50	335	296	89
7102	0	2043	2081	2084	3	0	41	38	38
7051	0	2141	2189	2194	5	0	53	48	48
7025	0	1760	1890	2204	54	22	444	390	130
7116	0	1943	1981	2214	51	2	271	220	38
7026	0	2192	2234	2254	20	0	62	42	42
7120	0	2097	2168	2256	7	19	159	152	71
7118	0	1978	2041	2260	28	39	282	254	63
7119	0	1990	2059	2293	60	6	303	243	69
7121	0	2260	2313	2322	9	0	62	53	53
7117	0	1970	2028	2354	50	68	384	334	58
7053	0	2296	2362	2380	18	0	84	66	66
7027	0	2223	2260	2396	23	29	173	150	37
7073	0	2321	2400	2404	4	0	83	79	79
7122	0	2266	2322	2417	22	10	151	129	56
7029	0	2279	2354	2475	16	8	196	180	75
7028	0	2274	2349	2528	39	9	254	215	75
7030	0	2448	2528	2547	19	0	99	80	80
7123	0	2273	2331	2603	54	17	330	276	58
7103	0	2386	2475	2616	22	7	230	208	89
7104	0	2396	2484	2648	2	10	252	250	88
7126	0	2526	2664	2683	19	0	157	138	138
7055	0	2531	2683	2822	18	2	291	273	152
7031	0	2558	2697	2824	5	2	266	261	139
7106	0	2713	2824	2830	6	0	117	111	111
7054	0	2362	2437	2834	47	25	472	425	75
7124	0	2462	2567	2848	49	3	386	337	105
7074	0	2741	2848	2851	3	0	110	107	107
7056	0	2676	2798	2926	31	0	250	219	122
7032	0	2724	2830	2929	4	5	205	201	106
7033	0	2849	2929	2939	10	0	90	80	80
7127	0	2600	2732	2971	52	0	371	319	132
7105	0	2436	2490	2992	57	109	556	499	54
7129	0	2792	2875	2999	27	0	207	180	83
7057	0	2734	2834	3056	24	12	322	298	100
7125	0	2495	2627	3084	66	11	589	523	132
7077	0	2982	3056	3189	25	0	207	182	74
7052	0	2241	2293	3273	99	59	1032	933	52
7075	0	2938	3021	3279	45	4	341	296	83
7058	0	3084	3189	3298	18	3	214	196	105
7128	0	2785	2872	3351	83	27	566	483	87
7076	0	2957	3040	3376	50	44	419	369	83
7130	0	3107	3245	3402	29	16	295	266	138
7079	0	3218	3298	3412	50	0	194	144	80
7078	0	3051	3144	3478	50	109	427	377	93
7082	0	3485	3522	3527	5	0	42	37	37
7034	0	3102	3205	3534	89	27	432	343	103
7080	0	3413	3445	3568	51	30	155	104	32
7081	0	3461	3487	3585	38	19	124	86	26
0	0	0	0	3585	28816	0	3585	-25231	0
