id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
10776	0	0	0	4	4	0	4	0	0
10836	0	0	77	79	2	0	79	77	77
10806	0	0	0	92	22	7	92	70	0
10868	0	91	93	117	7	0	26	19	2
10837	0	97	117	118	1	0	21	20	20
10896	0	0	19	156	40	6	156	116	19
10897	0	151	156	175	19	0	24	5	5
10777	1	19	30	216	30	0	197	167	11
10869	1	151	151	226	37	7	75	38	0
10870	0	233	233	235	2	0	2	0	0
10867	1	34	79	249	53	67	215	162	45
10778	0	255	255	347	40	19	92	52	0
10807	1	296	296	393	47	0	97	50	0
10779	0	479	479	517	9	18	38	29	0
10839	0	488	488	547	10	29	59	49	0
10898	0	611	659	692	27	0	81	54	48
10875	0	513	517	703	48	10	190	142	4
10809	0	666	677	739	21	17	73	52	11
10782	0	639	663	757	19	0	118	99	24
10876	0	700	708	779	14	3	79	65	8
10842	0	786	786	790	4	0	4	0	0
10874	1	467	467	827	54	17	360	306	0
10783	0	663	698	862	16	139	199	183	35
10841	0	717	725	877	44	36	160	116	8
10877	0	842	842	903	26	5	61	35	0
10878	0	853	897	912	14	0	59	45	44
10843	0	910	912	917	5	0	7	2	2
10879	0	938	938	1014	24	1	76	52	0
10785	0	929	929	1042	32	5	113	81	0
10784	0	910	910	1052	36	50	142	106	0
10844	0	967	1043	1068	12	0	101	89	76
10786	0	953	958	1073	35	1	120	85	5
10880	0	1056	1068	1101	9	2	45	36	12
10901	0	1145	1168	1169	1	0	24	23	23
10899	0	943	953	1187	27	21	244	217	10
10788	0	1112	1140	1188	8	1	76	68	28
10810	0	1043	1073	1197	37	1	154	117	30
10900	0	1046	1056	1213	33	20	167	134	10
10789	0	1144	1169	1228	16	20	84	68	25
10787	0	1087	1141	1232	28	30	145	117	54
10881	0	1216	1237	1282	14	0	66	52	21
10846	0	1270	1276	1328	15	2	58	43	6
10815	0	1298	1335	1355	18	0	57	39	37
10812	0	1244	1273	1393	34	6	149	115	29
10813	0	1281	1287	1427	13	28	146	133	6
10847	0	1323	1328	1449	8	42	126	118	5
10902	0	1377	1390	1466	28	27	89	61	13
10903	1	1392	1395	1497	31	0	105	74	3
10871	1	296	328	1504	36	8	1208	1172	32
10817	0	1548	1548	1578	22	8	30	8	0
10816	1	1517	1517	1589	25	0	72	47	0
10811	1	1237	1244	1593	24	0	356	332	7
10840	1	664	717	1613	35	6	949	914	53
10780	1	562	581	1650	29	0	1088	1059	19
10818	1	1606	1606	1696	31	39	90	59	0
10819	0	1700	1700	1739	11	0	39	28	0
10820	0	1701	1701	1740	18	7	39	21	0
10884	0	1741	1741	1820	33	5	79	46	0
10848	0	1717	1724	1825	22	44	108	86	7
10883	0	1724	1729	1853	39	50	129	90	5
10849	0	1874	1874	1897	15	8	23	8	0
10872	1	403	403	1915	69	5	1512	1443	0
10882	1	1650	1650	1927	32	0	277	245	0
10873	1	410	410	1929	63	13	1519	1456	0
